"gene1","gene2","pValue","oddsRatio","00","11","01","10","pAdj","Event","pair","event_ratio"
"TP53","GATA3",1.54771884739329e-16,0.106049547272149,453,9,116,332,3.58268251711412e-15,"Mutually_Exclusive","GATA3, TP53","9/448"
"CDH1","TP53",8.1259969513798e-15,0.138156692118824,450,12,329,119,1.75129244641806e-13,"Mutually_Exclusive","CDH1, TP53","12/448"
"PIK3CA","TP53",1.34466088088456e-10,0.384018509873203,314,81,260,255,2.71100984049307e-09,"Mutually_Exclusive","PIK3CA, TP53","81/515"
"MAP3K1","TP53",1.23503997171482e-08,0.178810599198908,494,9,332,75,2.3390908555205e-07,"Mutually_Exclusive","MAP3K1, TP53","9/407"
"BIRC6","MYH9",6.93908441203634e-06,14.2339445360093,862,7,21,20,0.000123912221643507,"Co_Occurence","BIRC6, MYH9","7/41"
"FOXA1","TP53",3.62600113869054e-05,0.0591385250931974,542,1,340,27,0.000612500192346374,"Mutually_Exclusive","FOXA1, TP53","1/367"
"BIRC6","NF1",7.24126891879671e-05,9.25038808792772,851,7,32,20,0.00116045976262768,"Co_Occurence","BIRC6, NF1","7/52"
"NF1","LRP1B",9.35303476462634e-05,8.80204470759218,850,7,21,32,0.00142576749460768,"Co_Occurence","LRP1B, NF1","7/53"
"MYH9","CDH1",0.000190833758823562,4.79612404097308,763,12,119,16,0.00277374649452852,"Co_Occurence","CDH1, MYH9","12/135"
"BIRC6","SPEN",0.000204255266114208,9.35698910580238,857,6,26,21,0.00283687869603067,"Co_Occurence","BIRC6, SPEN","6/47"
"GATA3","PIK3CA",0.000298546665008609,0.447417165401365,477,28,308,97,0.00397003543894429,"Mutually_Exclusive","GATA3, PIK3CA","28/405"
"RUNX1","CDH1",0.000688981898039663,3.45877141020027,753,14,117,26,0.00878803441377126,"Co_Occurence","CDH1, RUNX1","14/143"
"KMT2C","AKAP9",0.00074909006357761,4.75237372237892,805,9,20,76,0.00918002528894131,"Co_Occurence","AKAP9, KMT2C","9/96"
"NF1","MYH9",0.000785817222725397,6.98326581876673,849,6,22,33,0.00926671253213912,"Co_Occurence","MYH9, NF1","6/55"
"AKT1","PIK3CA",0.000822202292988333,0.131670147675252,549,2,334,25,0.00934320787486744,"Mutually_Exclusive","AKT1, PIK3CA","2/359"
"CSMD3","FAT3",0.00099619134606026,5.54444590718607,838,7,34,31,0.010923150724345,"Co_Occurence","CSMD3, FAT3","7/65"
"MYH9","LRP1B",0.00114593215022372,8.07278791759807,859,5,23,23,0.0118286249587341,"Co_Occurence","LRP1B, MYH9","5/46"
"SPEN","NCOR1",0.00115447379597244,5.41731907855114,835,7,43,25,0.0118286249587341,"Co_Occurence","NCOR1, SPEN","7/68"
"ARID1A","SPEN",0.0012466514815695,6.27871432539064,847,6,26,31,0.0121441753122253,"Co_Occurence","ARID1A, SPEN","6/57"
"PIK3CA","MAP3K1",0.00126299423247143,2.11950673298246,535,45,39,291,0.0121441753122253,"Co_Occurence","MAP3K1, PIK3CA","45/330"
"FAT1","AKAP9",0.0013551545565535,7.72959456620244,858,5,24,23,0.0122749506934194,"Co_Occurence","AKAP9, FAT1","5/47"
"LRP1B","AKAP9",0.0013551545565535,7.72959456620244,858,5,24,23,0.0122749506934194,"Co_Occurence","AKAP9, LRP1B","5/47"
"SPEN","KMT2C",0.00165530338030098,4.11897060867969,802,9,76,23,0.0145713325730721,"Co_Occurence","KMT2C, SPEN","9/99"
"GATA3","AKT1",0.00180298870666637,3.91985337766524,768,10,17,115,0.0154365471461163,"Co_Occurence","AKT1, GATA3","10/132"
"CDH1","TBX3",0.00209960236924701,3.30840818251464,756,12,23,119,0.0170417688459965,"Co_Occurence","CDH1, TBX3","12/142"
"SPEN","FAT1",0.00215407958213396,6.84921644393673,855,5,23,27,0.0170417688459965,"Co_Occurence","FAT1, SPEN","5/50"
"SPEN","LRP1B",0.00215407958213396,6.84921644393673,855,5,23,27,0.0170417688459965,"Co_Occurence","LRP1B, SPEN","5/50"
"CDH1","PIK3CA",0.00320745581915935,1.77938825332223,507,64,272,67,0.0247488874935135,"Co_Occurence","CDH1, PIK3CA","64/339"
"BIRC6","PTEN",0.00336589128137233,5.06451999187952,836,6,47,21,0.0253455668778037,"Co_Occurence","BIRC6, PTEN","6/68"
"FAT1","PTEN",0.00409350672427743,4.82931368897414,835,6,47,22,0.0300993141490988,"Co_Occurence","FAT1, PTEN","6/69"
"CSMD3","PTEN",0.00470823613082748,4.04400850368893,826,7,46,31,0.0331268663212408,"Co_Occurence","CSMD3, PTEN","7/77"
"FAT1","CSMD3",0.00471726576414468,5.57085814898157,849,5,33,23,0.0331268663212408,"Co_Occurence","CSMD3, FAT1","5/56"
"AKAP9","ARID1A",0.00490905232474919,5.50582344642836,849,5,32,24,0.0337160187139368,"Co_Occurence","AKAP9, ARID1A","5/56"
"ARID1A","TP53",0.0053627152291967,0.311161760758207,538,6,335,31,0.0360397528843864,"Mutually_Exclusive","ARID1A, TP53","6/366"
"FAT3","FAT1",0.00660112110696703,5.09077884871205,846,5,23,36,0.0425329968232412,"Co_Occurence","FAT1, FAT3","5/59"
"FAT3","MYH9",0.00660112110696703,5.09077884871205,846,5,23,36,0.0425329968232412,"Co_Occurence","FAT3, MYH9","5/59"
"FAT3","PTEN",0.00731195122738584,3.67433265438954,823,7,46,34,0.0461613082536986,"Co_Occurence","FAT3, PTEN","7/80"
"BIRC6","FAT1",0.007736437949612,6.1965119811165,859,4,24,23,0.0469444050340535,"Co_Occurence","BIRC6, FAT1","4/47"
"BIRC6","LRP1B",0.007736437949612,6.1965119811165,859,4,24,23,0.0469444050340535,"Co_Occurence","BIRC6, LRP1B","4/47"
"PTEN","SPEN",0.00821062820548778,4.06924956438172,831,6,26,47,0.0488727869374273,"Co_Occurence","PTEN, SPEN","6/73"
"AKAP9","BIRC6",0.00879211443412173,5.94360318083692,858,4,23,25,0.0497458084619559,"Co_Occurence","AKAP9, BIRC6","4/48"
"MYH9","FAT1",0.00883485558284337,5.93313398027475,858,4,24,24,0.0497458084619559,"Co_Occurence","FAT1, MYH9","4/48"
"LRP1B","FOXA1",0.00883485558284337,5.93313398027475,858,4,24,24,0.0497458084619559,"Co_Occurence","FOXA1, LRP1B","4/48"
"SPEN","PIK3CA",0.00902726387211902,2.58365771182227,561,19,317,13,0.0499295568148177,"Co_Occurence","PIK3CA, SPEN","19/330"
"SPEN","MAP2K4",0.00955688257578271,4.58209725422709,844,5,34,27,0.0519395792162104,"Co_Occurence","MAP2K4, SPEN","5/61"
"MYH9","AKAP9",0.0100316077470498,5.68931000608898,857,4,25,24,0.0535876482214197,"Co_Occurence","AKAP9, MYH9","4/49"
"TP53","MAP2K4",0.0105170153254962,0.352046404462438,537,7,32,334,0.0546869944380118,"Mutually_Exclusive","MAP2K4, TP53","7/366"
