"gene1","gene2","pValue","oddsRatio","00","11","01","10","pAdj","Event","pair","event_ratio"
"GATA3","TP53",6.15699273849404e-14,0.124986032424402,534,9,332,116,1.42522980057734e-12,"Mutually_Exclusive","GATA3, TP53","9/448"
"TP53","CDH1",1.41410207486017e-12,0.162977055407254,531,12,119,329,3.04763378202624e-11,"Mutually_Exclusive","CDH1, TP53","12/448"
"TTN","HMCN1",4.49843042468629e-07,4.33808514809601,789,26,33,143,8.70393119283702e-06,"Co_Occurence","HMCN1, TTN","26/176"
"TP53","MAP3K1",4.59567566981792e-07,0.208078595880167,575,9,75,332,8.70393119283702e-06,"Mutually_Exclusive","MAP3K1, TP53","9/407"
"PIK3CA","TP53",1.00056391228994e-06,0.48292087505138,395,81,260,255,1.70350111420903e-05,"Mutually_Exclusive","PIK3CA, TP53","81/515"
"RYR2","HMCN1",1.00847265961174e-06,6.73437095129124,891,14,45,41,1.70350111420903e-05,"Co_Occurence","HMCN1, RYR2","14/86"
"FAT3","HMCN1",1.33911654967107e-06,7.91459720697289,903,12,47,29,2.14602011165237e-05,"Co_Occurence","FAT3, HMCN1","12/76"
"RYR2","MUC16",1.46469386386751e-06,5.12079259697543,855,18,81,37,2.2327650363834e-05,"Co_Occurence","MUC16, RYR2","18/118"
"SYNE2","MUC16",1.73433225422879e-06,6.17209269043282,867,15,84,25,2.52083176486744e-05,"Co_Occurence","MUC16, SYNE2","15/109"
"FAT3","USH2A",2.20976058061533e-06,8.30153698378573,910,11,40,30,3.06911191752129e-05,"Co_Occurence","FAT3, USH2A","11/70"
"USH2A","HMCN1",2.61709049992094e-06,6.6228563466204,894,13,46,38,3.48017353712892e-05,"Co_Occurence","HMCN1, USH2A","13/84"
"MUC16","TTN",3.33520687861994e-06,3.08891263992973,758,35,134,64,4.25409040640301e-05,"Co_Occurence","MUC16, TTN","35/198"
"SYNE1","LRP2",2.00828597595074e-05,7.01060442531688,908,10,30,43,0.000246113477444946,"Co_Occurence","LRP2, SYNE1","10/73"
"SYNE1","FAT3",2.54853271048396e-05,6.77540524165142,907,10,31,43,0.000300534517745751,"Co_Occurence","FAT3, SYNE1","10/74"
"RYR2","TTN",2.66114430451863e-05,3.57190628528106,789,22,147,33,0.000301106707806622,"Co_Occurence","RYR2, TTN","22/180"
"LRP2","RYR2",2.84244732169449e-05,6.68357697977184,906,10,45,30,0.000301106707806622,"Co_Occurence","LRP2, RYR2","10/75"
